Basic Latin,0020,007F  
Block Elements,2580,259F  
Latin-1 Supplement,00A0,00FF  
Geometric Shapes,25A0,25FF  
Latin Extended-A,0100,017F  
Miscellaneous Symbols,2600,26FF  
Latin Extended-B,0180,024F  
Dingbats,2700,27BF  
IPA Extensions,0250,02AF  
Miscellaneous Mathematical Symbols-A,27C0,27EF  
Spacing Modifier Letters,02B0,02FF  
Supplemental Arrows-A,27F0,27FF  
Combining Diacritical Marks,0300,036F  
Braille Patterns,2800,28FF  
Greek and Coptic,0370,03FF  
Supplemental Arrows-B,2900,297F  
Cyrillic,0400,04FF  
Miscellaneous Mathematical Symbols-B,2980,29FF  
Cyrillic Supplementary,0500,052F  
Supplemental Mathematical Operators,2A00,2AFF  
Armenian,0530,058F  
Miscellaneous Symbols and Arrows,2B00,2BFF  
Hebrew,0590,05FF  
CJK Radicals Supplement,2E80,2EFF  
Arabic,0600,06FF  
Kangxi Radicals,2F00,2FDF  
Syriac,0700,074F  
Ideographic Description Characters,2FF0,2FFF  
Thaana,0780,07BF  
CJK Symbols and Punctuation,3000,303F  
Devanagari,0900,097F  
Hiragana,3040,309F  
Bengali,0980,09FF  
Katakana,30A0,30FF  
Gurmukhi,0A00,0A7F  
Bopomofo,3100,312F  
Gujarati,0A80,0AFF  
Hangul Compatibility Jamo,3130,318F  
Oriya,0B00,0B7F  
Kanbun,3190,319F  
Tamil,0B80,0BFF  
Bopomofo Extended,31A0,31BF  
Telugu,0C00,0C7F  
Katakana Phonetic Extensions,31F0,31FF  
Kannada,0C80,0CFF  
Enclosed CJK Letters and Months,3200,32FF  
Malayalam,0D00,0D7F  
CJK Compatibility,3300,33FF  
Sinhala,0D80,0DFF  
CJK Unified Ideographs Extension A,3400,4DBF  
Thai,0E00,0E7F  
Yijing Hexagram Symbols,4DC0,4DFF  
Lao,0E80,0EFF  
CJK Unified Ideographs,4E00,9FFF  
Tibetan,0F00,0FFF  
Yi Syllables,A000,A48F  
Myanmar,1000,109F  
Yi Radicals,A490,A4CF  
Georgian,10A0,10FF  
Hangul Syllables,AC00,D7AF  
Hangul Jamo,1100,11FF  
High Surrogates,D800,DB7F  
Ethiopic,1200,137F  
High Private Use Surrogates,DB80,DBFF  
Cherokee,13A0,13FF  
Low Surrogates,DC00,DFFF  
Unified Canadian Aboriginal Syllabics,1400,167F  
Private Use Area,E000,F8FF  
Ogham,1680,169F  
CJK Compatibility Ideographs,F900,FAFF  
Runic,16A0,16FF  
Alphabetic Presentation Forms,FB00,FB4F  
Tagalog,1700,171F  
Arabic Presentation Forms-A,FB50,FDFF  
Hanunoo,1720,173F  
Variation Selectors,FE00,FE0F  
Buhid,1740,175F  
Combining Half Marks,FE20,FE2F  
Tagbanwa,1760,177F  
CJK Compatibility Forms,FE30,FE4F  
Khmer,1780,17FF  
Small Form Variants,FE50,FE6F  
Mongolian,1800,18AF  
Arabic Presentation Forms-B,FE70,FEFF  
Limbu,1900,194F  
Halfwidth and Fullwidth Forms,FF00,FFEF  
Tai Le,1950,197F  
Specials,FFF0,FFFF  
Khmer Symbols,19E0,19FF  
Linear B Syllabary,10000,1007F  
Phonetic Extensions,1D00,1D7F  
Linear B Ideograms,10080,100FF  
Latin Extended Additional,1E00,1EFF  
Aegean Numbers,10100,1013F  
Greek Extended,1F00,1FFF  
Old Italic,10300,1032F  
General Punctuation,2000,206F  
Gothic,10330,1034F  
Superscripts and Subscripts,2070,209F  
Ugaritic,10380,1039F  
Currency Symbols,20A0,20CF  
Deseret,10400,1044F  
Combining Diacritical Marks for Symbols,20D0,20FF  
Shavian,10450,1047F  
Letterlike Symbols,2100,214F  
Osmanya,10480,104AF  
Number Forms,2150,218F  
Cypriot Syllabary,10800,1083F  
Arrows,2190,21FF  
Byzantine Musical Symbols,1D000,1D0FF  
Mathematical Operators,2200,22FF  
Musical Symbols,1D100,1D1FF  
Miscellaneous Technical,2300,23FF  
Tai Xuan Jing Symbols,1D300,1D35F  
Control Pictures,2400,243F  
Mathematical Alphanumeric Symbols,1D400,1D7FF  
Optical Character Recognition,2440,245F  
CJK Unified Ideographs Extension B,20000,2A6DF  
Enclosed Alphanumerics,2460,24FF  
CJK Compatibility Ideographs Supplement,2F800,2FA1F  
Box Drawing,2500,257F  
Tags,E0000,E007F  
